time, y1obs, y2obs, last
0.000000000000000000e+00,0.000000000000000000e+00,9.332543007969908988e-01,0.000000000000000000e+00
2.040816326530612290e-01,4.539156147919262696e-01,9.517224917574107490e-01,0.000000000000000000e+00
4.081632653061224580e-01,8.070708897378551239e-01,1.003868759547902112e+00,0.000000000000000000e+00
6.122448979591836871e-01,1.100792839945007762e+00,1.083399166911053868e+00,0.000000000000000000e+00
8.163265306122449161e-01,1.358688897453448785e+00,1.183468700009343566e+00,0.000000000000000000e+00
1.020408163265306145e+00,1.594007783801607125e+00,1.297849502053262105e+00,0.000000000000000000e+00
1.224489795918367374e+00,1.814122831868318908e+00,1.421427322591530595e+00,0.000000000000000000e+00
1.428571428571428603e+00,2.023099063422147736e+00,1.550240816115035170e+00,0.000000000000000000e+00
1.632653061224489832e+00,2.223134102036187887e+00,1.681321110305082911e+00,0.000000000000000000e+00
1.836734693877551061e+00,2.415373195005885876e+00,1.812486050873109322e+00,0.000000000000000000e+00
2.040816326530612290e+00,2.600377738207931166e+00,1.942153583074191836e+00,0.000000000000000000e+00
2.244897959183673741e+00,2.778397746855447714e+00,2.069191756832672535e+00,0.000000000000000000e+00
2.448979591836734748e+00,2.949530469313938585e+00,2.192804265414659781e+00,0.000000000000000000e+00
2.653061224489795755e+00,3.113811443779157084e+00,2.312444978600054490e+00,0.000000000000000000e+00
2.857142857142857206e+00,3.271265055416450629e+00,2.427754580102780668e+00,0.000000000000000000e+00
3.061224489795918657e+00,3.421930815503461343e+00,2.538513570685926535e+00,0.000000000000000000e+00
3.265306122448979664e+00,3.565875251090711462e+00,2.644607258050562848e+00,0.000000000000000000e+00
3.469387755102040671e+00,3.703195478208001212e+00,2.745999514142613673e+00,0.000000000000000000e+00
3.673469387755102122e+00,3.834018175636327630e+00,2.842712971876002026e+00,0.000000000000000000e+00
3.877551020408163573e+00,3.958496227741102214e+00,2.934813978540829371e+00,0.000000000000000000e+00
4.081632653061224580e+00,4.076804372425772982e+00,3.022401093115336668e+00,0.000000000000000000e+00
4.285714285714285587e+00,4.189134636211949925e+00,3.105596247105981256e+00,0.000000000000000000e+00
4.489795918367347483e+00,4.295691983033375294e+00,3.184537920566876235e+00,0.000000000000000000e+00
4.693877551020408490e+00,4.396690384251145112e+00,3.259375858325403996e+00,0.000000000000000000e+00
4.897959183673469497e+00,4.492349398613934675e+00,3.330266971193605929e+00,0.000000000000000000e+00
5.102040816326530503e+00,4.582891271746111883e+00,3.397372156254631737e+00,0.000000000000000000e+00
5.306122448979591510e+00,4.668538526241012399e+00,3.460853828618001060e+00,0.000000000000000000e+00
5.510204081632653406e+00,4.749511995471817905e+00,3.520874018090054403e+00,0.000000000000000000e+00
5.714285714285714413e+00,4.826029250455063035e+00,3.577592907731967919e+00,0.000000000000000000e+00
5.918367346938775420e+00,4.898303364614669420e+00,3.631167722837587153e+00,0.000000000000000000e+00
6.122448979591837315e+00,4.966541952634519141e+00,3.681751889775389586e+00,0.000000000000000000e+00
6.326530612244898322e+00,5.030946460021284317e+00,3.729494426008800545e+00,0.000000000000000000e+00
6.530612244897959329e+00,5.091711643705147949e+00,3.774539497975438973e+00,0.000000000000000000e+00
6.734693877551020336e+00,5.149025216704253616e+00,3.817026121755917600e+00,0.000000000000000000e+00
6.938775510204081343e+00,5.203067628394306254e+00,3.857087975669131641e+00,0.000000000000000000e+00
7.142857142857143238e+00,5.254011942040696326e+00,3.894853293054771015e+00,0.000000000000000000e+00
7.346938775510204245e+00,5.302023822937095510e+00,3.930444844646568292e+00,0.000000000000000000e+00
7.551020408163265252e+00,5.347261569370596490e+00,3.963979952384987460e+00,0.000000000000000000e+00
7.755102040816327147e+00,5.389876213586183518e+00,3.995570560510203872e+00,0.000000000000000000e+00
7.959183673469388154e+00,5.430011663311034908e+00,4.025323338177675403e+00,0.000000000000000000e+00
8.163265306122449161e+00,5.467804872256321502e+00,4.053339803220302962e+00,0.000000000000000000e+00
8.367346938775510168e+00,5.503386043369607350e+00,4.079716471405388845e+00,0.000000000000000000e+00
8.571428571428571175e+00,5.536878842955126778e+00,4.104545014618592447e+00,0.000000000000000000e+00
8.775510204081632182e+00,5.568400630203398372e+00,4.127912430339125471e+00,0.000000000000000000e+00
8.979591836734694965e+00,5.598062696167554364e+00,4.149901218348606591e+00,0.000000000000000000e+00
9.183673469387755972e+00,5.625970508042210660e+00,4.170589561642078280e+00,0.000000000000000000e+00
9.387755102040816979e+00,5.652223903548091677e+00,4.190051470351741969e+00,0.000000000000000000e+00
9.591836734693877986e+00,5.676917456932029538e+00,4.208357052824827527e+00,0.000000000000000000e+00
9.795918367346938993e+00,5.700140616132059357e+00,4.225572617443424939e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.721977936864644398e+00,4.241760846171526822e+00,1.000000000000000000e+00
